"filename", "language", "YAML", "Dart", "Groovy", "Properties", "Markdown", "C++", "Swift", "XML", "JSON", "Ruby", "Batch", "Objective-C", "Java", "Shell Script", "comment", "blank", "total"
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/home/tab_user/tab_user.dart", "Dart", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 249
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/homework_details/create_hw.dart", "Dart", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 329
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/homework_details/for_tea.dart/screen_hw_detail_tea.dart", "Dart", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 148
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/homework_details/item_hwquestion.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 89
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/homework_details/item_peer_summit.dart", "Dart", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 243
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/homework_details/item_summit_file.dart", "Dart", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 173
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/homework_details/screen_hw_details.dart", "Dart", 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 312
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/homework_details/summitsheet.dart", "Dart", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 216
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/group/group_for_stu/dialog_create_group.dart", "Dart", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 151
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/group/group_for_stu/item_stu.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/group/group_for_stu/sceen_choose.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 74
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/group/group_for_stu/selectable_item.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/group/group_for_stu/tab_group_stu.dart", "Dart", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 131
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/group/group_for_tea/item_group.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 82
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/group/group_for_tea/tab_group_tea.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 80
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/screen_lesson.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 112
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/tab_lesson_details.dart", "Dart", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 205
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/tab_lesson_hw.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/lesson/tab_lesson_members.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/login/image_banner.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/login/screen_login.dart", "Dart", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 151
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/login/screen_login_signup.dart", "Dart", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 260
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/login/text_section.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/setting/screen_setting_menu.dart", "Dart", 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 250
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/screens/sign_up/update_user_info.dart", "Dart", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 171
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/style.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/utils/file_man.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 68
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/utils/firebase_auth.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/utils/firebase_store.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/utils/firebase_userinfo.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 57
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/lib/utils/share_pre.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/CHANGELOG.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/README.md", "Markdown", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 91
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 3, 4, 26
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/build.gradle", "Groovy", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 44
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/gradle.properties", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 24, 85
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/settings.gradle", "Groovy", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 4, 59
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/java/cn/ugle/flutter/umengshare/UmengshareActionListener.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 9, 46
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/java/cn/ugle/flutter/umengshare/UmengsharePlugin.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 6, 23, 264
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/java/cn/ugle/flutter/umengshare/wxapi/WXEntryActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/res/drawable/umeng_socialize_btn_bg.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/res/drawable/umeng_socialize_edit_bg.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/res/layout/socialize_share_menu_item.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/res/layout/umeng_socialize_oauth_dialog.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 8, 17, 121
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/res/layout/umeng_socialize_share.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 12, 137
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/res/values/umeng_socialize_shareview_strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/android/src/main/res/values/umeng_socialize_style.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 57, 11, 82
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/ios/Classes/UmengsharePlugin.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/ios/Classes/UmengsharePlugin.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 27, 17, 293
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/ios/Flutter/flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 1, 11
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/ios/umengshare.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 2, 29
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/lib/umengshare.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 2, 151
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/plugin/flutter_umengshare/pubspec.yaml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 5, 51
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/pubspec.yaml", "YAML", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 8, 79
"/home/soi/Documents/GraduationProgram/Programs/graduation_app/test/widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 45, 6226, 133, 11, 77, 6, 12, 446, 185, 22, 61, 249, 295, 8, 409, 801, 8986
